;label;sugar
621;Viejo de Caldas Gran Reserva Especial;0
762;Vizcaya VXOP 21 (not years);28
763;Walter Hicks Navy Rum 125;3
764;Westerhall Jack Iron;6
765;Westerhall Plantation Rum;8
766;Westerhall Superb Light Rum;5
767;Westerhall Superb Light Rum;7
768;Westerhall White Jack;6
769;XM Special 12 yr;17
622;Yacare;0
770;Ypioca Prata;8
623;Zacapa (old, woven straw band only);38
624;Zacapa (very old complete straw wrap);45
625;Zacapa 23 anos White Label;44
626;Zacapa 23 Sistema Solera;20
627;Zacapa Black Label;44
634;Zacapa Centenario;25
628;Zacapa Centenario 23;20
629;Zacapa Centenario Etiqueta Negra;28
630;Zacapa Centenario Reserva Limitada 2013;17
631;Zacapa Centenario Sistema Solera 23;38
633;Zacapa Centenario XO;26
632;Zacapa Centenario XO Premio Platino;41
636;Zacapa Gran Reserva;41
640;Zacapa XO;0
641;Zacapa XO;26
638;Zacapa XO (newer wide bottle, taper to top);26
639;Zacapa XO (old wide bottle, bottom taper);41
635;ZacapaGran Reserva;22
771;Zaya (Trinidad);20
